category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
text,wikitext,sample_0000,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0001,<memory>,30,28,28,0.611,3.8981,4.6511,1.05,1.092,"HF text, 2 lines, 30 bytes"
text,wikitext,sample_0002,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0003,<memory>,727,448,468,0.4727,4.6865,7.5017,0.77,0.865,"HF text, 2 lines, 727 bytes"
text,wikitext,sample_0004,<memory>,524,343,364,0.4946,4.4091,7.3533,0.818,0.896,"HF text, 2 lines, 524 bytes"
text,wikitext,sample_0005,<memory>,574,360,359,0.5011,4.3725,7.219,0.784,0.836,"HF text, 2 lines, 574 bytes"
text,wikitext,sample_0006,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0007,<memory>,19,15,13,0.7159,2.9053,3.281,0.888,0.901,"HF text, 2 lines, 19 bytes"
text,wikitext,sample_0008,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0009,<memory>,1221,645,618,0.5036,4.2845,7.3169,0.66,0.74,"HF text, 2 lines, 1221 bytes"
text,wikitext,sample_0010,<memory>,1623,810,746,0.4973,4.3362,7.4139,0.624,0.691,"HF text, 2 lines, 1623 bytes"
text,wikitext,sample_0011,<memory>,496,315,306,0.5107,4.2887,7.0815,0.794,0.835,"HF text, 2 lines, 496 bytes"
text,wikitext,sample_0012,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0013,<memory>,15,11,9,0.7705,2.3396,2.6645,0.825,0.842,"HF text, 2 lines, 15 bytes"
text,wikitext,sample_0014,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0015,<memory>,1059,604,621,0.4895,4.4155,7.504,0.713,0.836,"HF text, 2 lines, 1059 bytes"
text,wikitext,sample_0016,<memory>,1229,646,624,0.5076,4.2467,7.2623,0.657,0.761,"HF text, 2 lines, 1229 bytes"
text,wikitext,sample_0017,<memory>,1097,597,579,0.5,4.3426,7.3149,0.68,0.772,"HF text, 2 lines, 1097 bytes"
text,wikitext,sample_0018,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0019,<memory>,22,18,16,0.6881,3.1747,3.6304,0.92,0.932,"HF text, 2 lines, 22 bytes"
text,wikitext,sample_0020,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0021,<memory>,1512,764,711,0.4888,4.4325,7.4931,0.632,0.69,"HF text, 2 lines, 1512 bytes"
text,wikitext,sample_0022,<memory>,1433,738,672,0.4953,4.3581,7.4354,0.644,0.708,"HF text, 2 lines, 1433 bytes"
text,wikitext,sample_0023,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0024,<memory>,20,13,10,0.7716,2.3464,2.6153,0.731,0.688,"HF text, 2 lines, 20 bytes"
text,wikitext,sample_0025,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0026,<memory>,1678,853,811,0.4915,4.407,7.4586,0.699,0.72,"HF text, 2 lines, 1678 bytes"
text,wikitext,sample_0027,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0028,<memory>,22,15,12,0.7559,2.4474,2.9152,0.767,0.727,"HF text, 2 lines, 22 bytes"
text,wikitext,sample_0029,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0030,<memory>,1422,767,718,0.4822,4.4731,7.6225,0.674,0.741,"HF text, 2 lines, 1422 bytes"
text,wikitext,sample_0031,<memory>,497,320,314,0.4958,4.4642,7.2063,0.805,0.816,"HF text, 2 lines, 497 bytes"
text,wikitext,sample_0032,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0033,<memory>,20,16,14,0.7032,3.0464,3.4058,0.9,0.912,"HF text, 2 lines, 20 bytes"
text,wikitext,sample_0034,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0035,<memory>,316,231,228,0.4925,4.5605,7.1186,0.822,0.907,"HF text, 2 lines, 316 bytes"
text,wikitext,sample_0036,<memory>,736,433,433,0.5003,4.3607,7.2702,0.735,0.818,"HF text, 2 lines, 736 bytes"
text,wikitext,sample_0037,<memory>,857,495,494,0.4978,4.3523,7.3661,0.722,0.802,"HF text, 2 lines, 857 bytes"
text,wikitext,sample_0038,<memory>,500,325,329,0.5029,4.3741,7.1578,0.731,0.855,"HF text, 2 lines, 500 bytes"
text,wikitext,sample_0039,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0040,<memory>,17,13,11,0.7372,2.7045,3.0,0.86,0.875,"HF text, 2 lines, 17 bytes"
text,wikitext,sample_0041,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0042,<memory>,374,248,250,0.5029,4.4302,7.0458,0.746,0.862,"HF text, 2 lines, 374 bytes"
text,wikitext,sample_0043,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0044,<memory>,26,19,16,0.7045,3.027,3.4031,0.822,0.788,"HF text, 2 lines, 26 bytes"
text,wikitext,sample_0045,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0046,<memory>,1078,654,670,0.4507,4.8619,7.8549,0.758,0.848,"HF text, 2 lines, 1078 bytes"
text,wikitext,sample_0047,<memory>,1207,671,678,0.4785,4.5575,7.5729,0.695,0.808,"HF text, 2 lines, 1207 bytes"
text,wikitext,sample_0048,<memory>,732,474,440,0.4312,5.1882,7.8236,0.809,0.782,"HF text, 2 lines, 732 bytes"
text,wikitext,sample_0049,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0050,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0051,<memory>,48,46,46,0.5676,4.205,5.4269,1.078,1.104,"HF text, 2 lines, 48 bytes"
text,wikitext,sample_0052,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0053,<memory>,549,339,306,0.4877,4.5881,7.2181,0.772,0.745,"HF text, 2 lines, 549 bytes"
text,wikitext,sample_0054,<memory>,503,308,316,0.5046,4.3849,7.0833,0.765,0.831,"HF text, 2 lines, 503 bytes"
text,wikitext,sample_0055,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0056,<memory>,23,18,17,0.6837,3.2405,3.6412,0.88,0.94,"HF text, 2 lines, 23 bytes"
text,wikitext,sample_0057,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0058,<memory>,1121,631,624,0.4839,4.4973,7.5197,0.704,0.798,"HF text, 2 lines, 1121 bytes"
text,wikitext,sample_0059,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0060,<memory>,20,16,14,0.7161,2.8394,3.4058,0.9,0.912,"HF text, 2 lines, 20 bytes"
text,wikitext,sample_0061,<memory>,0,0,0,1.0,0.0,0.0,0.0,0.0,"HF text, 0 lines, 0 bytes"
text,wikitext,sample_0062,<memory>,1584,811,768,0.4945,4.3517,7.4717,0.64,0.743,"HF text, 2 lines, 1584 bytes"
text,wikitext,sample_0063,<memory>,494,296,285,0.5314,4.1024,6.7903,0.674,0.783,"HF text, 2 lines, 494 bytes"
text,wikitext,sample_0064,<memory>,46,42,44,0.5808,4.0729,5.2696,1.027,1.103,"HF text, 2 lines, 46 bytes"
text,wikitext,sample_0065,<memory>,981,542,514,0.5032,4.2986,7.301,0.691,0.759,"HF text, 2 lines, 981 bytes"
text,wikitext,sample_0066,<memory>,755,404,362,0.5297,4.1109,6.8292,0.669,0.7,"HF text, 2 lines, 755 bytes"
text,wikitext,sample_0067,<memory>,265,192,215,0.528,4.1447,6.8156,0.815,0.988,"HF text, 2 lines, 265 bytes"
text,wikitext,sample_0068,<memory>,87,70,74,0.5707,3.9949,5.7488,0.905,1.0,"HF text, 2 lines, 87 bytes"
text,wikitext,sample_0069,<memory>,131,105,116,0.5442,4.1222,6.3414,0.902,1.053,"HF text, 2 lines, 131 bytes"
text,wikitext,sample_0070,<memory>,121,97,100,0.5578,4.0244,6.1027,0.902,0.992,"HF text, 2 lines, 121 bytes"
text,wikitext,sample_0071,<memory>,391,253,250,0.5261,4.167,6.8304,0.728,0.85,"HF text, 2 lines, 391 bytes"
text,wikitext,sample_0072,<memory>,479,299,302,0.5228,4.1592,6.9506,0.78,0.858,"HF text, 2 lines, 479 bytes"
text,wikitext,sample_0073,<memory>,303,219,227,0.499,4.515,7.0013,0.813,0.942,"HF text, 2 lines, 303 bytes"
text,wikitext,sample_0074,<memory>,40,39,40,0.5831,4.0537,5.2341,1.097,1.125,"HF text, 2 lines, 40 bytes"
text,wikitext,sample_0075,<memory>,48,45,48,0.5526,4.4448,5.4269,1.055,1.125,"HF text, 2 lines, 48 bytes"
text,wikitext,sample_0076,<memory>,46,46,46,0.5474,4.4956,5.4919,1.125,1.125,"HF text, 2 lines, 46 bytes"
text,wikitext,sample_0077,<memory>,38,38,38,0.5762,4.1754,5.2095,1.125,1.125,"HF text, 2 lines, 38 bytes"
text,wikitext,sample_0078,<memory>,26,26,26,0.6101,3.9172,4.6439,1.125,1.125,"HF text, 2 lines, 26 bytes"
text,wikitext,sample_0079,<memory>,43,37,36,0.6129,3.7349,4.9161,0.968,1.0,"HF text, 2 lines, 43 bytes"
image,mnist,sample_0000,<memory>,784,182,179,0.8124,1.8285,2.3448,0.261,0.34,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0001,<memory>,784,202,196,0.7969,1.9196,2.6613,0.29,0.359,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0002,<memory>,784,167,145,0.8471,1.4551,1.9834,0.24,0.291,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0003,<memory>,784,128,137,0.8834,1.0977,1.5349,0.184,0.279,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0004,<memory>,784,172,177,0.8312,1.6095,2.1822,0.247,0.324,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0005,<memory>,784,211,214,0.7822,2.1113,2.7481,0.303,0.379,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0006,<memory>,784,113,98,0.8986,0.9435,1.3586,0.162,0.224,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0007,<memory>,784,188,172,0.7945,1.9912,2.5944,0.27,0.341,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0008,<memory>,784,105,97,0.9137,0.8069,1.1484,0.151,0.224,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0009,<memory>,784,181,179,0.8329,1.5857,2.1754,0.26,0.337,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0010,<memory>,784,164,166,0.834,1.5953,2.1204,0.235,0.326,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0011,<memory>,784,134,140,0.8812,1.156,1.4881,0.192,0.271,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0012,<memory>,784,197,195,0.7888,2.0473,2.6636,0.283,0.372,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0013,<memory>,784,200,198,0.8023,1.8776,2.5709,0.287,0.364,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0014,<memory>,784,99,90,0.9149,0.7961,1.1325,0.142,0.207,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0015,<memory>,784,169,178,0.832,1.6013,2.1743,0.243,0.343,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0016,<memory>,784,193,188,0.8117,1.8308,2.3648,0.277,0.346,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0017,<memory>,784,192,204,0.8089,1.8378,2.4411,0.276,0.361,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0018,<memory>,784,161,157,0.8538,1.3943,1.8911,0.231,0.307,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0019,<memory>,784,150,156,0.8597,1.346,1.7976,0.215,0.305,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0020,<memory>,784,184,165,0.807,1.8362,2.5045,0.264,0.337,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0021,<memory>,784,202,192,0.7918,1.9599,2.7439,0.29,0.363,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0022,<memory>,784,162,168,0.8521,1.4223,1.8869,0.232,0.318,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0023,<memory>,784,132,146,0.8818,1.1169,1.5473,0.189,0.296,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0024,<memory>,784,163,158,0.8403,1.5469,2.0174,0.234,0.31,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0025,<memory>,784,200,194,0.7781,2.155,2.7904,0.287,0.369,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0026,<memory>,784,145,139,0.8736,1.1945,1.6551,0.208,0.284,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0027,<memory>,784,181,169,0.7863,2.0881,2.6619,0.26,0.335,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0028,<memory>,784,181,184,0.7942,2.0114,2.5617,0.26,0.349,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0029,<memory>,784,144,148,0.8696,1.2506,1.6714,0.207,0.294,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0030,<memory>,784,165,168,0.8278,1.6736,2.1635,0.237,0.318,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0031,<memory>,784,175,177,0.8125,1.8045,2.391,0.251,0.334,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0032,<memory>,784,173,169,0.8405,1.5314,2.0401,0.248,0.319,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0033,<memory>,784,162,167,0.8394,1.5625,2.0131,0.232,0.321,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0034,<memory>,784,170,155,0.8197,1.6758,2.4176,0.244,0.32,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0035,<memory>,784,118,113,0.8984,0.9138,1.4224,0.169,0.25,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0036,<memory>,784,162,163,0.8312,1.6226,2.1562,0.232,0.326,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0037,<memory>,784,192,178,0.7941,1.9534,2.6813,0.276,0.359,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0038,<memory>,784,160,141,0.8402,1.5504,2.0114,0.23,0.282,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0039,<memory>,784,188,180,0.8193,1.7031,2.3762,0.27,0.344,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0040,<memory>,784,104,100,0.9055,0.88,1.2626,0.149,0.225,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0041,<memory>,784,191,198,0.8074,1.8409,2.4825,0.274,0.356,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0042,<memory>,784,127,128,0.8891,1.0556,1.4383,0.182,0.262,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0043,<memory>,784,143,139,0.87,1.2271,1.7063,0.205,0.279,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0044,<memory>,784,134,127,0.875,1.1827,1.6353,0.192,0.267,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0045,<memory>,784,179,188,0.8252,1.6622,2.2692,0.257,0.348,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0046,<memory>,784,202,200,0.8014,1.9274,2.5,0.29,0.362,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0047,<memory>,784,102,74,0.9099,0.8161,1.2509,0.146,0.197,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0048,<memory>,784,149,137,0.8604,1.3411,1.7845,0.214,0.278,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0049,<memory>,784,189,179,0.8002,1.9208,2.5509,0.271,0.346,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0050,<memory>,784,174,164,0.8357,1.6061,2.0461,0.25,0.31,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0051,<memory>,784,199,167,0.7821,2.0726,2.8283,0.286,0.334,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0052,<memory>,784,164,150,0.8322,1.5967,2.1748,0.235,0.311,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0053,<memory>,784,167,164,0.8464,1.4603,1.9944,0.24,0.317,"pixels (28, 28), dtype=uint8"
